Unnamed: 0,Client_ID,Scenario,DataVolume(Samples),FeatureCount,Local_Accuracy(%),Train_Time(s),Latency(ms),C_p,BW,Weights_Path,Label0,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Quality_Factor,Mean_Quality_Factor(%),Reliability_Score
0,1,IID,2030,784,93.13,4.289148092,4289.148092,0.233146531,4048.837209,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_1_local.npz,203,203,203,203,203,203,203,203,203,203,"[0.0, 86.65024638175964, 0.0, 91.03448390960693, 92.21674799919128, 92.8078830242157, 93.34975481033325, 93.49753856658936, 0.0, 0.0]",54.95566547,0.6
1,2,IID,1230,784,90.87,3.526934862,3526.934862,0.283532313,5952.136752,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_2_local.npz,123,123,123,123,123,123,123,123,123,123,"[0.0, 84.71544981002808, 87.31707334518433, 89.34959173202515, 0.0, 0.0, 0.0, 91.30081534385681, 92.35772490501404, 0.0]",44.50406551,0.5
2,3,IID,1870,784,92.49,3.918707848,3918.707848,0.255186158,5952.136752,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_3_local.npz,187,187,187,187,187,187,187,187,187,187,"[64.97326493263245, 0.0, 0.0, 90.58823585510254, 91.71122908592224, 92.72727370262146, 93.20855736732483, 0.0, 0.0, 0.0]",43.32085609,0.5
3,4,IID,1110,784,90.17,3.516336203,3516.336203,0.284386914,5901.694915,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_4_local.npz,111,111,111,111,111,111,111,111,111,111,"[66.0360336303711, 0.0, 0.0, 89.18918967247009, 90.18018245697021, 91.44144058227539, 92.43243336677551, 0.0, 92.16216206550598, 93.1531548500061]",61.45945966,0.7
4,5,IID,1330,784,91.77,3.568681002,3568.681002,0.280215575,5926.808511,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz,133,133,133,133,133,133,133,133,133,133,"[66.24060273170471, 86.54135465621948, 89.92481231689453, 91.12781882286072, 91.42857193946838, 93.08270812034607, 93.68420839309692, 93.75939965248108, 0.0, 0.0]",70.57894766,0.8
5,6,IID,3950,784,95.15,5.208383799,5208.383799,0.19199814,5901.694915,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz,395,395,395,395,395,395,395,395,395,395,"[0.0, 86.96202635765076, 89.2405092716217, 91.82278513908386, 0.0, 0.0, 93.34177374839783, 93.56961846351624, 0.0, 94.7594940662384]",54.9696207,0.6
6,7,IID,2470,784,95.05,4.523534775,4523.534775,0.221066058,5852.10084,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_7_local.npz,247,247,247,247,247,247,247,247,247,247,"[66.15384817123413, 85.50607562065125, 88.50202560424805, 0.0, 90.8906877040863, 0.0, 92.63157844543457, 93.03643703460693, 93.19838285446167, 0.0]",60.99190354,0.7
7,8,IID,3090,784,95.62,4.977092266,4977.092266,0.200920527,3868.888889,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_8_local.npz,309,309,309,309,309,309,309,309,309,309,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 92.23300814628601, 92.75081157684326, 0.0]",18.49838197,0.2
8,9,NonIID,908,784,86.07,3.401380539,3401.380539,0.293998272,5876.793249,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_9_local.npz,45,22,152,30,305,76,127,81,39,31,"[62.99559473991394, 0.0, 0.0, 91.96035265922546, 92.07048416137695, 92.62114763259888, 93.17180514335632, 0.0, 0.0, 93.72246861457825]",52.6541853,0.6
9,10,NonIID,1764,784,91.0,4.062541485,4062.541485,0.246151333,5852.10084,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_10_local.npz,256,394,128,57,152,265,117,59,124,212,"[74.37641620635986, 0.0, 0.0, 0.0, 0.0, 92.91383028030396, 93.08390021324158, 93.70748400688171, 93.76417398452759, 0.0]",44.78458047,0.5
10,11,NonIID,3347,784,93.66,4.839785814,4839.785814,0.206620714,5926.808511,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_11_local.npz,228,166,74,349,259,111,928,497,138,597,"[71.49686217308044, 86.94353103637695, 0.0, 0.0, 91.81356430053711, 93.09829473495483, 93.3074414730072, 0.0, 0.0, 94.41290497779846]",53.10725987,0.6
11,12,NonIID,3066,784,78.67,4.764702559,4764.702559,0.20987669,5684.897959,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_12_local.npz,410,163,521,8,249,201,492,1,94,927,"[84.24657583236694, 90.60665369033813, 0.0, 91.97651743888855, 0.0, 93.6725378036499, 93.31376552581787, 94.74886059761047, 0.0, 94.87932324409485]",64.34442341,0.7
12,13,NonIID,1239,784,88.95,3.637535095,3637.535095,0.274911437,5779.253112,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_13_local.npz,154,41,160,59,121,159,193,96,58,198,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 93.46246719360352, 0.0, 93.8660204410553]",18.73284876,0.2
13,14,NonIID,1721,784,59.65,4.098136663,4098.136663,0.244013336,5731.687243,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_14_local.npz,6,402,33,0,96,0,0,49,707,428,"[56.24637007713318, 0.0, 83.49796533584595, 0.0, 0.0, 0.0, 0.0, 93.02731156349182, 92.44624972343445, 93.95700097084045]",41.91748977,0.5
14,15,NonIID,875,784,88.84,3.663598061,3663.598061,0.272955707,5876.793249,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_15_local.npz,93,98,221,100,87,44,45,39,106,42,"[65.37142992019653, 84.5714271068573, 88.11428546905518, 0.0, 90.28571248054504, 0.0, 91.77142977714539, 92.79999732971191, 93.02856922149658, 0.0]",60.59428513,0.7
15,16,NonIID,1739,784,78.49,3.868693829,3868.693829,0.258485175,5755.371901,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_16_local.npz,128,73,114,105,49,76,5,635,554,0,"[52.731454372406006, 0.0, 0.0, 89.01667594909668, 91.83439016342163, 89.87923860549927, 91.31684899330139, 90.91432094573975, 93.84703636169434, 93.27199459075928]",69.281196,0.8
16,17,NonIID,3842,784,83.2,5.134942293,5134.942293,0.194744155,5901.694915,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_17_local.npz,436,265,179,9,428,11,279,1664,409,162,"[66.89224243164062, 84.04476642608643, 0.0, 90.13534784317017, 93.07652115821838, 90.91618657112122, 0.0, 0.0, 93.93544793128967, 0.0]",51.90005124,0.6
17,18,NonIID,1169,784,87.54,3.756211758,3756.211758,0.266225672,5852.10084,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_18_local.npz,4,129,140,158,272,40,93,111,165,57,"[52.437978982925415, 82.03592896461487, 0.0, 89.05047178268433, 91.95894002914429, 0.0, 92.13002324104309, 91.70231223106384, 93.24208498001099, 93.92643570899963]",68.64841759,0.8
18,19,NonIID,3906,784,78.82,5.260195494,5260.195494,0.190107003,6135.682819,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_19_local.npz,8,1155,656,92,11,533,135,58,17,1241,"[87.45519518852234, 90.52739143371582, 91.6538655757904, 92.08909273147583, 0.0, 93.06195378303528, 0.0, 94.52124834060669, 93.08755993843079, 0.0]",64.2396307,0.7
19,20,NonIID,2948,784,88.09,4.62940836,4629.40836,0.216010324,5755.371901,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_20_local.npz,179,365,497,570,218,528,185,229,7,170,"[67.26594567298889, 0.0, 89.24694657325745, 0.0, 90.02713561058044, 91.21438264846802, 91.89280867576599, 0.0, 92.02849268913269, 92.94437170028687]",61.46200836,0.7
0,21,IID,2030,784,93.13,4.289148092,4289.148092,0.233146531,4048.837209,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_1_local.npz,203,203,203,203,203,203,203,203,203,203,"[0.0, 86.65024638175964, 0.0, 91.03448390960693, 92.21674799919128, 92.8078830242157, 93.34975481033325, 93.49753856658936, 0.0, 0.0]",54.95566547,0.6
1,22,IID,1230,784,90.87,3.526934862,3526.934862,0.283532313,5952.136752,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_2_local.npz,123,123,123,123,123,123,123,123,123,123,"[0.0, 84.71544981002808, 87.31707334518433, 89.34959173202515, 0.0, 0.0, 0.0, 91.30081534385681, 92.35772490501404, 0.0]",44.50406551,0.5
2,23,IID,1870,784,92.49,3.918707848,3918.707848,0.255186158,5952.136752,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_3_local.npz,187,187,187,187,187,187,187,187,187,187,"[64.97326493263245, 0.0, 0.0, 90.58823585510254, 91.71122908592224, 92.72727370262146, 93.20855736732483, 0.0, 0.0, 0.0]",43.32085609,0.5
3,24,IID,1110,784,90.17,3.516336203,3516.336203,0.284386914,5901.694915,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_4_local.npz,111,111,111,111,111,111,111,111,111,111,"[66.0360336303711, 0.0, 0.0, 89.18918967247009, 90.18018245697021, 91.44144058227539, 92.43243336677551, 0.0, 92.16216206550598, 93.1531548500061]",61.45945966,0.7
4,25,IID,1330,784,91.77,3.568681002,3568.681002,0.280215575,5926.808511,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz,133,133,133,133,133,133,133,133,133,133,"[66.24060273170471, 86.54135465621948, 89.92481231689453, 91.12781882286072, 91.42857193946838, 93.08270812034607, 93.68420839309692, 93.75939965248108, 0.0, 0.0]",70.57894766,0.8
5,26,IID,3950,784,95.15,5.208383799,5208.383799,0.19199814,5901.694915,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz,395,395,395,395,395,395,395,395,395,395,"[0.0, 86.96202635765076, 89.2405092716217, 91.82278513908386, 0.0, 0.0, 93.34177374839783, 93.56961846351624, 0.0, 94.7594940662384]",54.9696207,0.6
6,27,IID,2470,784,95.05,4.523534775,4523.534775,0.221066058,5852.10084,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_7_local.npz,247,247,247,247,247,247,247,247,247,247,"[66.15384817123413, 85.50607562065125, 88.50202560424805, 0.0, 90.8906877040863, 0.0, 92.63157844543457, 93.03643703460693, 93.19838285446167, 0.0]",60.99190354,0.7
7,28,IID,3090,784,95.62,4.977092266,4977.092266,0.200920527,3868.888889,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_8_local.npz,309,309,309,309,309,309,309,309,309,309,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 92.23300814628601, 92.75081157684326, 0.0]",18.49838197,0.2
8,29,NonIID,908,784,86.07,3.401380539,3401.380539,0.293998272,5876.793249,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_9_local.npz,45,22,152,30,305,76,127,81,39,31,"[62.99559473991394, 0.0, 0.0, 91.96035265922546, 92.07048416137695, 92.62114763259888, 93.17180514335632, 0.0, 0.0, 93.72246861457825]",52.6541853,0.6
9,30,NonIID,1764,784,91.0,4.062541485,4062.541485,0.246151333,5852.10084,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_10_local.npz,256,394,128,57,152,265,117,59,124,212,"[74.37641620635986, 0.0, 0.0, 0.0, 0.0, 92.91383028030396, 93.08390021324158, 93.70748400688171, 93.76417398452759, 0.0]",44.78458047,0.5
10,31,NonIID,3347,784,93.66,4.839785814,4839.785814,0.206620714,5926.808511,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_11_local.npz,228,166,74,349,259,111,928,497,138,597,"[71.49686217308044, 86.94353103637695, 0.0, 0.0, 91.81356430053711, 93.09829473495483, 93.3074414730072, 0.0, 0.0, 94.41290497779846]",53.10725987,0.6
11,32,NonIID,3066,784,78.67,4.764702559,4764.702559,0.20987669,5684.897959,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_12_local.npz,410,163,521,8,249,201,492,1,94,927,"[84.24657583236694, 90.60665369033813, 0.0, 91.97651743888855, 0.0, 93.6725378036499, 93.31376552581787, 94.74886059761047, 0.0, 94.87932324409485]",64.34442341,0.7
12,33,NonIID,1239,784,88.95,3.637535095,3637.535095,0.274911437,5779.253112,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_13_local.npz,154,41,160,59,121,159,193,96,58,198,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 93.46246719360352, 0.0, 93.8660204410553]",18.73284876,0.2
13,34,NonIID,1721,784,59.65,4.098136663,4098.136663,0.244013336,5731.687243,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_14_local.npz,6,402,33,0,96,0,0,49,707,428,"[56.24637007713318, 0.0, 83.49796533584595, 0.0, 0.0, 0.0, 0.0, 93.02731156349182, 92.44624972343445, 93.95700097084045]",41.91748977,0.5
14,35,NonIID,875,784,88.84,3.663598061,3663.598061,0.272955707,5876.793249,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_15_local.npz,93,98,221,100,87,44,45,39,106,42,"[65.37142992019653, 84.5714271068573, 88.11428546905518, 0.0, 90.28571248054504, 0.0, 91.77142977714539, 92.79999732971191, 93.02856922149658, 0.0]",60.59428513,0.7
15,36,NonIID,1739,784,78.49,3.868693829,3868.693829,0.258485175,5755.371901,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_16_local.npz,128,73,114,105,49,76,5,635,554,0,"[52.731454372406006, 0.0, 0.0, 89.01667594909668, 91.83439016342163, 89.87923860549927, 91.31684899330139, 90.91432094573975, 93.84703636169434, 93.27199459075928]",69.281196,0.8
16,37,NonIID,3842,784,83.2,5.134942293,5134.942293,0.194744155,5901.694915,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_17_local.npz,436,265,179,9,428,11,279,1664,409,162,"[66.89224243164062, 84.04476642608643, 0.0, 90.13534784317017, 93.07652115821838, 90.91618657112122, 0.0, 0.0, 93.93544793128967, 0.0]",51.90005124,0.6
17,38,NonIID,1169,784,87.54,3.756211758,3756.211758,0.266225672,5852.10084,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_18_local.npz,4,129,140,158,272,40,93,111,165,57,"[52.437978982925415, 82.03592896461487, 0.0, 89.05047178268433, 91.95894002914429, 0.0, 92.13002324104309, 91.70231223106384, 93.24208498001099, 93.92643570899963]",68.64841759,0.8
18,39,NonIID,3906,784,78.82,5.260195494,5260.195494,0.190107003,6135.682819,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_19_local.npz,8,1155,656,92,11,533,135,58,17,1241,"[87.45519518852234, 90.52739143371582, 91.6538655757904, 92.08909273147583, 0.0, 93.06195378303528, 0.0, 94.52124834060669, 93.08755993843079, 0.0]",64.2396307,0.7
19,40,NonIID,2948,784,88.09,4.62940836,4629.40836,0.216010324,5755.371901,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_20_local.npz,179,365,497,570,218,528,185,229,7,170,"[67.26594567298889, 0.0, 89.24694657325745, 0.0, 90.02713561058044, 91.21438264846802, 91.89280867576599, 0.0, 92.02849268913269, 92.94437170028687]",61.46200836,0.7
0,41,IID,2030,784,93.13,4.289148092,4289.148092,0.233146531,4048.837209,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_1_local.npz,203,203,203,203,203,203,203,203,203,203,"[0.0, 86.65024638175964, 0.0, 91.03448390960693, 92.21674799919128, 92.8078830242157, 93.34975481033325, 93.49753856658936, 0.0, 0.0]",54.95566547,0.6
1,42,IID,1230,784,90.87,3.526934862,3526.934862,0.283532313,5952.136752,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_2_local.npz,123,123,123,123,123,123,123,123,123,123,"[0.0, 84.71544981002808, 87.31707334518433, 89.34959173202515, 0.0, 0.0, 0.0, 91.30081534385681, 92.35772490501404, 0.0]",44.50406551,0.5
2,43,IID,1870,784,92.49,3.918707848,3918.707848,0.255186158,5952.136752,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_3_local.npz,187,187,187,187,187,187,187,187,187,187,"[64.97326493263245, 0.0, 0.0, 90.58823585510254, 91.71122908592224, 92.72727370262146, 93.20855736732483, 0.0, 0.0, 0.0]",43.32085609,0.5
3,44,IID,1110,784,90.17,3.516336203,3516.336203,0.284386914,5901.694915,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_4_local.npz,111,111,111,111,111,111,111,111,111,111,"[66.0360336303711, 0.0, 0.0, 89.18918967247009, 90.18018245697021, 91.44144058227539, 92.43243336677551, 0.0, 92.16216206550598, 93.1531548500061]",61.45945966,0.7
4,45,IID,1330,784,91.77,3.568681002,3568.681002,0.280215575,5926.808511,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_5_local.npz,133,133,133,133,133,133,133,133,133,133,"[66.24060273170471, 86.54135465621948, 89.92481231689453, 91.12781882286072, 91.42857193946838, 93.08270812034607, 93.68420839309692, 93.75939965248108, 0.0, 0.0]",70.57894766,0.8
5,46,IID,3950,784,95.15,5.208383799,5208.383799,0.19199814,5901.694915,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_6_local.npz,395,395,395,395,395,395,395,395,395,395,"[0.0, 86.96202635765076, 89.2405092716217, 91.82278513908386, 0.0, 0.0, 93.34177374839783, 93.56961846351624, 0.0, 94.7594940662384]",54.9696207,0.6
6,47,IID,2470,784,95.05,4.523534775,4523.534775,0.221066058,5852.10084,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_7_local.npz,247,247,247,247,247,247,247,247,247,247,"[66.15384817123413, 85.50607562065125, 88.50202560424805, 0.0, 90.8906877040863, 0.0, 92.63157844543457, 93.03643703460693, 93.19838285446167, 0.0]",60.99190354,0.7
7,48,IID,3090,784,95.62,4.977092266,4977.092266,0.200920527,3868.888889,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_8_local.npz,309,309,309,309,309,309,309,309,309,309,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 92.23300814628601, 92.75081157684326, 0.0]",18.49838197,0.2
8,49,NonIID,908,784,86.07,3.401380539,3401.380539,0.293998272,5876.793249,/content/drive/MyDrive/MLaaS_Weights_20_MNIST/client_9_local.npz,45,22,152,30,305,76,127,81,39,31,"[62.99559473991394, 0.0, 0.0, 91.96035265922546, 92.07048416137695, 92.62114763259888, 93.17180514335632, 0.0, 0.0, 93.72246861457825]",52.6541853,0.6
